[22/03/2020 | 23:29:01] welch was set to finished by piratelover5
[22/03/2020 | 23:41:33] Checkpoint 6 was deleted on welch by GhastBuster13425
[22/03/2020 | 23:41:33] welch's checkpoint 5 was deleted by GhastBuster13425
[22/03/2020 | 23:41:40] Checkpoint 5 was deleted on welch by GhastBuster13425
[22/03/2020 | 23:41:40] welch's checkpoint 4 was deleted by GhastBuster13425
[22/03/2020 | 23:41:43] Checkpoint 4 was deleted on welch by GhastBuster13425
[22/03/2020 | 23:41:43] welch's checkpoint 3 was deleted by GhastBuster13425
[22/03/2020 | 23:41:47] Checkpoint 3 was deleted on welch by GhastBuster13425
[22/03/2020 | 23:41:47] welch's checkpoint 2 was deleted by GhastBuster13425
[22/03/2020 | 23:41:52] Checkpoint 2 was deleted on welch by GhastBuster13425
[22/03/2020 | 23:41:52] welch's checkpoint 1 was deleted by GhastBuster13425
[22/03/2020 | 23:41:54] Checkpoint 1 was deleted on welch by GhastBuster13425
[22/03/2020 | 23:41:54] welch's checkpoint 0 was deleted by GhastBuster13425
[22/03/2020 | 23:43:15] AutoStart at 124-5-85 was deleted by piratelover5
[22/03/2020 | 23:43:17] AutoStart at 124-5-84 was deleted by piratelover5
[22/03/2020 | 23:50:22] AutoStart at -105-8--60 was deleted by piratelover5
[22/03/2020 | 23:52:38] AutoStart at -84-10--57 was deleted by piratelover5
[22/03/2020 | 23:52:53] janitor spawn was reset by piratelover5
[22/03/2020 | 23:53:38] janitor was deleted by piratelover5
[22/03/2020 | 23:56:07] janitor was deleted by piratelover5
[22/03/2020 | 23:56:47] Lobby.welch was set by piratelover5
[23/03/2020 | 00:21:12] Lobby.Welch was set by piratelover5
[23/03/2020 | 00:21:50] Lobby was set by piratelover5
[23/03/2020 | 00:22:11] lobby welch was deleted by piratelover5
[23/03/2020 | 14:10:03] Checkpoint 10 was deleted on welch by GhastBuster13425
[23/03/2020 | 14:10:03] welch's checkpoint 9 was deleted by GhastBuster13425
[23/03/2020 | 16:23:49] welch was set to unfinished by GhastBuster13425
[23/03/2020 | 16:25:36] GhastBuster13425 recieved the kit
[23/03/2020 | 17:50:55] AutoStart at 124-5-85 was deleted by piratelover5
[23/03/2020 | 17:50:58] AutoStart at 124-5-84 was deleted by piratelover5
[24/03/2020 | 21:46:00] courtyard was deleted by piratelover5
[24/03/2020 | 21:50:59] cy was set to finished by piratelover5
[06/04/2020 | 16:45:20] Lobby was set by piratelover5
